"chr","pos","fst","x","label"
1,1,0.0565927936265226,1,""
1,2,0.0164529968973839,2,""
1,3,0.0407550203816741,3,""
1,4,0.00566215661022541,4,""
1,5,0.105992508397632,5,""
1,6,0.0419029318214578,6,""
1,7,0.00871472813074107,7,""
1,8,0.0070542637127159,8,""
1,9,0.0945006683080342,9,""
1,10,0.0238506670623376,10,""
1,11,0.0171941611013224,11,""
1,12,0.0424537413216099,12,""
1,13,0.0266198280633554,13,""
1,14,0.0789246857503807,14,""
1,15,0.00694357766107479,15,""
1,16,0.00715821296786977,16,""
1,17,0.0374788816630395,17,""
1,18,0.0181924386731777,18,""
1,19,0.0154877346005258,19,""
1,20,0.0761966880241407,20,""
1,21,0.00704505085216503,21,""
1,22,0.181650774748577,22,""
1,23,0.0317636814400175,23,""
1,24,0.0916645745628316,24,""
1,25,0.0303571321501451,25,""
1,26,0.00331388917625147,26,""
1,27,0.0112480063622718,27,""
1,28,0.0218156917219021,28,""
1,29,0.0221461750105348,29,""
1,30,0.0313244327317359,30,""
1,31,0.0548239916518617,31,""
1,32,0.0138808287309686,32,""
1,33,0.0271882533576099,33,""
1,34,0.0402134886437864,34,""
1,35,0.0507543976304309,35,""
1,36,0.0366760577394099,36,""
1,37,0.0731218207891465,37,""
1,38,0.0172634095405287,38,""
1,39,0.00745105451178885,39,""
1,40,0.00383538933522126,40,""
1,41,0.033819236510514,41,""
1,42,0.045799127779041,42,""
1,43,0.0525543392883905,43,""
1,44,0.0827112204018969,44,""
1,45,0.00856121648383127,45,""
1,46,0.00329986681750164,46,""
1,47,0.0248803841951176,47,""
1,48,0.0519126866241422,48,""
1,49,0.0291037572584469,49,""
1,50,0.0108332583338578,50,""
1,51,0.0826346166351236,51,""
1,52,0.0231749588324196,52,""
1,53,0.0213629409005574,53,""
1,54,0.0383444113596034,54,""
1,55,0.0171975676128031,55,""
1,56,0.0258383181292008,56,""
1,57,0.0152586171250709,57,""
1,58,0.0300045436735466,58,""
1,59,0.211431179730885,59,""
1,60,0.0368295371967473,60,""
1,61,0.0387215586284817,61,""
1,62,0.285992520526544,62,""
1,63,0.0279094442822498,63,""
1,64,0.025294984113891,64,""
1,65,0.0142844478014549,65,""
1,66,0.00168393061676927,66,""
1,67,0.135006749585749,67,""
1,68,0.0449025599779407,68,""
1,69,0.00299227442927551,69,""
1,70,0.00874258940002568,70,""
1,71,0.045296743893989,71,""
1,72,0.0441979730517231,72,""
1,73,0.0115989223051884,73,""
1,74,0.0395743427747926,74,""
1,75,0.0358850734925537,75,""
1,76,0.0923284932918199,76,""
1,77,0.0430588786912777,77,""
1,78,0.043157183892224,78,""
1,79,0.07076923756676,79,""
1,80,0.162388102047102,80,""
1,81,0.150007845507003,81,""
1,82,0.239569218690198,82,""
1,83,0.218620297309699,83,""
1,84,0.397342303992293,84,""
1,85,0.380152349490442,85,""
1,86,0.491947114026049,86,""
1,87,0.558830902531544,87,""
1,88,0.636344292654002,88,""
1,89,0.703235650378644,89,""
1,90,0.780333004316195,90,""
1,91,0.81482559960294,91,""
1,92,0.849303704695568,92,"Platten"
1,93,0.796903491045655,93,""
1,94,0.823769192336343,94,""
1,95,0.868554342072405,95,""
1,96,0.710506610423063,96,""
1,97,0.684753915571808,97,""
1,98,0.47954702762236,98,""
1,99,0.360006520568233,99,""
1,100,0.287252169214723,100,""
1,101,0.323162769597023,101,""
1,102,0.256181745145599,102,""
1,103,0.113270426209884,103,""
1,104,0.11931927238739,104,""
1,105,0.051259352776214,105,""
1,106,0.0840608368953983,106,""
1,107,0.0990059265839869,107,""
1,108,0.0302664522350823,108,""
1,109,0.00942770931135167,109,""
1,110,0.0112074166811577,110,""
1,111,0.0295317833725951,111,""
1,112,0.00826346839229334,112,""
1,113,0.0301424444807656,113,""
1,114,0.00293318128834328,114,""
1,115,0.0743464586268772,115,""
1,116,0.0702802103260271,116,""
1,117,0.074116420871335,117,""
1,118,0.0144855409393531,118,""
1,119,0.031024376271353,119,""
1,120,0.00183651785831854,120,""
1,121,0.114709819996161,121,""
1,122,0.0347125344336504,122,""
1,123,0.0519597649573086,123,""
1,124,0.128913213417891,124,""
1,125,0.00276321697654714,125,""
1,126,0.0473299025964066,126,""
1,127,0.0659499505194594,127,""
1,128,0.0413922073636162,128,""
1,129,0.0335784331500039,129,""
1,130,0.00766892991608285,130,""
1,131,0.0689415021891198,131,""
1,132,0.0422754755059936,132,""
1,133,0.0350445469215874,133,""
1,134,0.0453958145998369,134,""
1,135,0.00926793925719177,135,""
1,136,0.0268266621792183,136,""
1,137,0.0373374895060335,137,""
1,138,0.0674988469079842,138,""
1,139,0.0149059590579584,139,""
1,140,0.000844568522063968,140,""
1,141,0.0212360837728536,141,""
1,142,0.0181737277754234,142,""
1,143,0.0136210694217361,143,""
1,144,0.0366162479018371,144,""
1,145,0.0203845199915336,145,""
1,146,0.0106524282279517,146,""
1,147,0.0160361633329016,147,""
1,148,0.000531404389562376,148,""
1,149,0.00442928779635095,149,""
1,150,0.0228333704907961,150,""
1,151,0.0787111527151874,151,""
1,152,0.026500610982931,152,""
1,153,0.0553620770946339,153,""
1,154,0.0101167395014044,154,""
1,155,0.00935224734280411,155,""
1,156,0.0615357194138274,156,""
1,157,0.0479621749895904,157,""
1,158,0.0221437723650074,158,""
1,159,0.0396738331942616,159,""
1,160,0.0147783748017355,160,""
1,161,0.0209634881215374,161,""
1,162,0.00814553994200268,162,""
1,163,0.104162184287006,163,""
1,164,0.0422847704742094,164,""
1,165,0.021121492598601,165,""
1,166,0.0454988427312346,166,""
1,167,0.041394687588825,167,""
1,168,0.131511881116377,168,""
1,169,0.0415962336180344,169,""
1,170,0.0341186706489008,170,""
1,171,0.000113824607092916,171,""
1,172,0.0504998319274396,172,""
1,173,0.0294274986084488,173,""
1,174,0.0212528276007234,174,""
1,175,0.0279476878530534,175,""
1,176,0.023834649464608,176,""
1,177,0.0654745204858841,177,""
1,178,0.00420071949487007,178,""
1,179,0.0154914031953497,179,""
1,180,0.0181034751589362,180,""
1,181,0.0782441098221958,181,""
1,182,0.0293723530717668,182,""
1,183,0.0219033868603972,183,""
1,184,0.000520731279218134,184,""
1,185,0.0316886486831322,185,""
1,186,0.0285184022084348,186,""
1,187,0.0504051145878537,187,""
1,188,0.143994317095362,188,""
1,189,0.00320591007201414,189,""
1,190,0.0133098097960353,190,""
1,191,0.0289764589447265,191,""
1,192,0.0527380434371903,192,""
1,193,0.0430007406118005,193,""
1,194,0.00366160037651285,194,""
1,195,0.0392586694313946,195,""
1,196,0.0163230391665928,196,""
1,197,0.0290156989982481,197,""
1,198,0.00378434691317534,198,""
1,199,0.107361560786269,199,""
1,200,0.00666360039879529,200,""
1,201,0.0761286411363277,201,""
1,202,0.0081155017933966,202,""
1,203,0.0151841470173668,203,""
1,204,0.0210513216166225,204,""
1,205,0.0174608643866162,205,""
1,206,0.102664008587112,206,""
1,207,0.031858468457542,207,""
1,208,0.00927665989647907,208,""
1,209,0.0216044638183063,209,""
1,210,0.0109436038288857,210,""
1,211,0.0360327007679129,211,""
1,212,0.017599449101661,212,""
1,213,0.0385767657906571,213,""
1,214,0.0778664838344789,214,""
1,215,0.0224354890538765,215,""
1,216,0.0134094809370534,216,""
1,217,0.0688167969767925,217,""
1,218,0.0373798860057105,218,""
1,219,0.00592021107211818,219,""
1,220,0.103497806064639,220,""
1,221,0.012022603342938,221,""
1,222,0.0206120867973376,222,""
1,223,0.00853412102892785,223,""
1,224,0.0451158637622951,224,""
1,225,0.0130966689664067,225,""
1,226,0.00233243267822632,226,""
1,227,0.00480057274481482,227,""
1,228,0.0602736383607711,228,""
1,229,0.00725975020306844,229,""
1,230,0.0693031761088458,230,""
1,231,0.0176427076787496,231,""
1,232,0.0194823087168717,232,""
1,233,0.0273987869711024,233,""
1,234,0.0175313796727607,234,""
1,235,0.194776115395891,235,""
1,236,0.0156365713790717,236,""
1,237,0.0403458741593603,237,""
1,238,0.0341365321693334,238,""
1,239,0.0162345744997194,239,""
1,240,0.0624873013294698,240,""
1,241,0.117777754286006,241,""
1,242,0.00380595928344954,242,""
1,243,0.0746771415456864,243,""
1,244,0.157295845244721,244,""
1,245,0.0161283924560798,245,""
1,246,0.0387294902008297,246,""
1,247,0.0188962068829756,247,""
1,248,0.0168012250196761,248,""
1,249,0.0150570793008996,249,""
1,250,0.00905756326436768,250,""
1,251,0.0414827643142473,251,""
1,252,0.0464973840052953,252,""
1,253,0.0137615855612135,253,""
1,254,0.034377422647595,254,""
1,255,0.0214066581195806,255,""
1,256,0.0535337368022396,256,""
1,257,0.00471005401067819,257,""
1,258,0.0152169791719607,258,""
1,259,0.0838435006424614,259,""
1,260,0.0300152925433306,260,""
1,261,0.00300888745638671,261,""
1,262,0.0293146322871689,262,""
1,263,0.0865708478800071,263,""
1,264,0.0349448346401706,264,""
1,265,0.0182471010486963,265,""
1,266,0.00547081904497223,266,""
1,267,0.0363695205326618,267,""
1,268,0.0148413057341728,268,""
1,269,0.00994256868711401,269,""
1,270,0.0541420087734886,270,""
1,271,0.163065953828387,271,""
1,272,0.0203435980556388,272,""
1,273,0.0296605814529676,273,""
1,274,0.0373431761919762,274,""
1,275,0.00377733909794691,275,""
1,276,0.0429718784778851,276,""
1,277,0.0111818891499514,277,""
1,278,0.0385350244130425,278,""
1,279,0.000959741319515329,279,""
1,280,0.0590731351510855,280,""
2,1,0.0507975779407826,299,""
2,2,0.00360327819852162,300,""
2,3,0.0151813872814487,301,""
2,4,0.0302486595290732,302,""
2,5,0.00188764220788675,303,""
2,6,0.0480428341346998,304,""
2,7,0.0219629041805038,305,""
2,8,0.01612632287553,306,""
2,9,0.0567701567797184,307,""
2,10,0.0128755293509304,308,""
2,11,0.0158895493436966,309,""
2,12,0.0227894395588571,310,""
2,13,0.0797324465402114,311,""
2,14,0.00221739375668163,312,""
2,15,0.0149334821239658,313,""
2,16,0.0290446746681333,314,""
